date,asset,realized,historical_mean,ols,ols_restricted,ols4,ols4_restricted,ridge,ridge_restricted,elastic_net,elastic_net_restricted,random_forest
1967-04-01,Utils_excess,0.0156,0.00836375,0.01753241,0.01753241,0.01072286,0.01072286,0.01031614,0.01031614,0.00836375,0.00836375,0.00848146
1967-05-01,Durbl_excess,-0.0768,0.01255917,-0.01028013,0.0,0.00746655,0.00746655,-0.00148496,0.0,0.01237754,0.01237754,-0.00128774
1967-05-01,Enrgy_excess,-0.0279,0.01130958,-0.01327164,0.0,0.00622025,0.00622025,0.00191843,0.00191843,0.01130958,0.01130958,-0.00456252
1967-05-01,HiTec_excess,-0.0467,0.01414,0.00433152,0.00433152,0.01784582,0.01784582,0.00699795,0.00699795,0.01414,0.01414,0.01052159
1967-05-01,Hlth_excess,-0.0562,0.01220375,0.021187,0.021187,0.01958297,0.01958297,0.01219935,0.01219935,0.01220375,0.01220375,0.00143857
1967-05-01,Manuf_excess,-0.04,0.01034333,-0.00231769,0.0,0.00660561,0.00660561,0.00030259,0.00030259,0.01034333,0.01034333,0.00204852
1967-05-01,NoDur_excess,-0.0305,0.00794333,0.00502451,0.00502451,0.01500585,0.01500585,0.0040202,0.0040202,0.00794333,0.00794333,0.0040476
1967-05-01,Other_excess,-0.0235,0.00953292,-0.00029724,0.0,0.01281525,0.01281525,0.002587,0.002587,0.00953292,0.00953292,0.00374671
1967-05-01,Shops_excess,-0.049,0.00877417,-0.00351432,0.0,0.01193088,0.01193088,0.00091328,0.00091328,0.00877417,0.00877417,0.00225644
1967-05-01,Telcm_excess,-0.0599,0.00668708,0.00478016,0.00478016,0.01470548,0.01470548,0.0066844,0.0066844,0.00757741,0.00757741,0.0059151
1967-05-01,Utils_excess,-0.0445,0.00858667,-0.00311015,0.0,0.01479325,0.01479325,-0.00126366,0.0,0.00858667,0.00858667,-0.00146549
1967-06-01,Durbl_excess,0.0132,0.01232958,0.01549322,0.01549322,0.00981377,0.00981377,0.01401779,0.01401779,0.01331255,0.01331255,0.00505971
1967-06-01,Enrgy_excess,0.0201,0.01108792,0.01889287,0.01889287,0.01069341,0.01069341,0.00919323,0.00919323,0.01108792,0.01108792,0.00225232
1967-06-01,HiTec_excess,0.0615,0.01395792,0.01953293,0.01953293,0.01769215,0.01769215,0.01545218,0.01545218,0.01395792,0.01395792,0.01360078
1967-06-01,Hlth_excess,0.0514,0.01208125,0.0497034,0.0497034,0.01880296,0.01880296,0.01208273,0.01208273,0.01208125,0.01208125,0.01252651
1967-06-01,Manuf_excess,0.0183,0.010265,0.01733394,0.01733394,0.0086767,0.0086767,0.01032175,0.01032175,0.010265,0.010265,0.00460131
1967-06-01,NoDur_excess,0.0248,0.00784042,0.01995604,0.01995604,0.01540778,0.01540778,0.01140341,0.01140341,0.00784042,0.00784042,0.00619826
1967-06-01,Other_excess,0.0324,0.0095225,0.01417094,0.01417094,0.01582841,0.01582841,0.01007225,0.01007225,0.0095225,0.0095225,0.00579734
1967-06-01,Shops_excess,0.0351,0.00858625,0.01162316,0.01162316,0.01252073,0.01252073,0.01117149,0.01117149,0.00858625,0.00858625,0.00518071
1967-06-01,Telcm_excess,0.0246,0.00648458,0.01592753,0.01592753,0.01434696,0.01434696,0.00648528,0.00648528,0.00726438,0.00726438,0.00680262
1967-06-01,Utils_excess,-0.0158,0.00850583,0.01154181,0.01154181,0.01630833,0.01630833,0.00756116,0.00756116,0.00850583,0.00850583,0.00091498
1967-07-01,Durbl_excess,0.108,0.01214083,-0.00184324,0.0,0.01538244,0.01538244,0.00407463,0.00407463,0.01418972,0.01418972,0.0064361
1967-07-01,Enrgy_excess,0.0662,0.01084917,0.00507489,0.00507489,0.01653382,0.01653382,0.00453862,0.00453862,0.01084917,0.01084917,0.00331765
1967-07-01,HiTec_excess,0.0368,0.01405417,0.01023207,0.01023207,0.02145533,0.02145533,0.00820051,0.00820051,0.01405417,0.01405417,0.01292545
1967-07-01,Hlth_excess,0.0348,0.01212167,0.03861098,0.03861098,0.02248097,0.02248097,0.01211872,0.01211872,0.01212167,0.01212167,0.00186176
1967-07-01,Manuf_excess,0.0472,0.0101025,0.00829954,0.00829954,0.01272125,0.01272125,0.00417166,0.00417166,0.0101025,0.0101025,0.00562951
1967-07-01,NoDur_excess,0.0574,0.0076725,0.01201119,0.01201119,0.01845558,0.01845558,0.00573693,0.00573693,0.0076725,0.0076725,0.00785666
1967-07-01,Other_excess,0.0751,0.00952583,0.00922935,0.00922935,0.02102444,0.02102444,0.00591156,0.00591156,0.00952583,0.00952583,0.00966594
1967-07-01,Shops_excess,0.0569,0.00832125,0.00300308,0.00300308,0.01736958,0.01736958,0.00360886,0.00360886,0.00832125,0.00832125,0.00511521
1967-07-01,Telcm_excess,-0.0689,0.00672125,0.00439147,0.00439147,0.01604344,0.01604344,0.00671849,0.00671849,0.00744554,0.00744554,0.01086218
1967-07-01,Utils_excess,0.0202,0.00827667,-0.00262498,0.0,0.01768532,0.01768532,-0.00114099,0.0,0.00827667,0.00827667,0.00422316
1967-08-01,Durbl_excess,-0.0017,0.01237542,0.02441683,0.02441683,0.00696801,0.00696801,0.01221523,0.01221523,0.01183694,0.01183694,0.01079748
1967-08-01,Enrgy_excess,-0.0179,0.01096458,0.01558955,0.01558955,0.00927059,0.00927059,0.00627223,0.00627223,0.01096458,0.01096458,0.00450601
1967-08-01,HiTec_excess,-0.0132,0.01394458,0.03819818,0.03819818,0.0208216,0.0208216,0.01845515,0.01845515,0.01394458,0.01394458,0.01232825
1967-08-01,Hlth_excess,0.0034,0.01215917,0.04000263,0.04000263,0.01926571,0.01926571,0.01215924,0.01215924,0.01215917,0.01215917,0.01155465
1967-08-01,Manuf_excess,-0.0071,0.01013917,0.02406279,0.02406279,0.00718279,0.00718279,0.00922191,0.00922191,0.01013917,0.01013917,0.00574974
1967-08-01,NoDur_excess,-0.0113,0.00771917,0.02897949,0.02897949,0.01648098,0.01648098,0.01251121,0.01251121,0.00771917,0.00771917,0.00594021
1967-08-01,Other_excess,-0.0056,0.00959083,0.03131505,0.03131505,0.01587687,0.01587687,0.0119166,0.0119166,0.00959083,0.00959083,0.00851451
1967-08-01,Shops_excess,0.0002,0.0083675,0.02821575,0.02821575,0.01277648,0.01277648,0.01304234,0.01304234,0.0083675,0.0083675,0.00903016
1967-08-01,Telcm_excess,-0.0155,0.00640167,0.01253203,0.01253203,0.00730578,0.00730578,0.00640027,0.00640027,0.00680361,0.00680361,-0.0001878
1967-08-01,Utils_excess,-0.0096,0.0082575,0.01533785,0.01533785,0.01252426,0.01252426,0.00596019,0.00596019,0.0082575,0.0082575,0.00300943
1967-09-01,Durbl_excess,0.0466,0.01240125,0.01294025,0.01294025,0.0063675,0.0063675,0.007369,0.007369,0.01197442,0.01197442,0.00140663
1967-09-01,Enrgy_excess,0.0392,0.01098708,0.00644946,0.00644946,0.00825156,0.00825156,0.00408713,0.00408713,0.01098708,0.01098708,-0.00287412
1967-09-01,HiTec_excess,0.0804,0.01406667,0.0291309,0.0291309,0.02010595,0.02010595,0.01428076,0.01428076,0.01406667,0.01406667,0.00882506
1967-09-01,Hlth_excess,0.0258,0.01233417,0.0341167,0.0341167,0.01943983,0.01943983,0.01233202,0.01233202,0.01233417,0.01233417,-0.00441193
1967-09-01,Manuf_excess,0.0279,0.01015333,0.01699525,0.01699525,0.00679424,0.00679424,0.00601997,0.00601997,0.01015333,0.01015333,0.00158301
1967-09-01,NoDur_excess,0.0278,0.00773083,0.0229409,0.0229409,0.01699952,0.01699952,0.009767,0.009767,0.00773083,0.00773083,0.00288213
1967-09-01,Other_excess,0.0095,0.00970125,0.0256853,0.0256853,0.01603914,0.01603914,0.00942645,0.00942645,0.00970125,0.00970125,0.00435014
1967-09-01,Shops_excess,0.0213,0.0085175,0.01878619,0.01878619,0.01272678,0.01272678,0.00907776,0.00907776,0.0085175,0.0085175,0.00035617
1967-09-01,Telcm_excess,0.009,0.00632333,0.00640236,0.00640236,0.00745729,0.00745729,0.0063198,0.0063198,0.00693017,0.00693017,-0.00216199
1967-09-01,Utils_excess,-0.0042,0.00820875,0.00793405,0.00793405,0.01358151,0.01358151,0.00208902,0.00208902,0.00820875,0.00820875,-0.00384587
1967-10-01,Durbl_excess,-0.053,0.01259083,0.01540237,0.01540237,0.0045375,0.0045375,0.00804156,0.00804156,0.0116601,0.0116601,0.00864919
1967-10-01,Enrgy_excess,-0.0135,0.01126583,0.00709813,0.00709813,0.00563389,0.00563389,0.00428857,0.00428857,0.01126583,0.01126583,0.00070102
1967-10-01,HiTec_excess,0.045,0.01435667,0.03839028,0.03839028,0.02282174,0.02282174,0.01759819,0.01759819,0.01435667,0.01435667,0.01278167
1967-10-01,Hlth_excess,-0.0542,0.01255375,0.03242947,0.03242947,0.01953703,0.01953703,0.01255173,0.01255173,0.01255375,0.01255375,0.00850817
1967-10-01,Manuf_excess,-0.0491,0.0102425,0.01912998,0.01912998,0.00553539,0.00553539,0.00651697,0.00651697,0.0102425,0.0102425,0.00622692
1967-10-01,NoDur_excess,-0.0301,0.00783292,0.02682706,0.02682706,0.0181968,0.0181968,0.01163439,0.01163439,0.00783292,0.00783292,0.01000588
1967-10-01,Other_excess,-0.0543,0.00978333,0.02820587,0.02820587,0.01391036,0.01391036,0.01020579,0.01020579,0.00978333,0.00978333,0.00767563
1967-10-01,Shops_excess,0.0027,0.00872583,0.02237623,0.02237623,0.01204795,0.01204795,0.01078553,0.01078553,0.00872583,0.00872583,0.00706488
1967-10-01,Telcm_excess,-0.0388,0.00632875,0.0111445,0.0111445,0.00874439,0.00874439,0.00632594,0.00632594,0.00722517,0.00722517,0.00226284
1967-10-01,Utils_excess,-0.0576,0.00824917,0.01079314,0.01079314,0.01227427,0.01227427,0.00344327,0.00344327,0.00824917,0.00824917,-6.629e-05
1967-11-01,Durbl_excess,-0.0132,0.01225042,-0.00584256,0.0,0.00612811,0.00612811,-0.0003446,0.0,0.0120889,0.0120889,0.0030086
1967-11-01,Enrgy_excess,0.0042,0.01099375,0.00017892,0.00017892,0.01124702,0.01124702,0.00176768,0.00176768,0.01099375,0.01099375,-0.00158777
1967-11-01,HiTec_excess,0.0106,0.01447417,0.0213011,0.0213011,0.02785761,0.02785761,0.01094405,0.01094405,0.01447417,0.01447417,0.01408711
1967-11-01,Hlth_excess,0.0097,0.01228,0.02441353,0.02441353,0.01622009,0.01622009,0.01227377,0.01227377,0.01228,0.01228,-0.00418839
1967-11-01,Manuf_excess,0.0027,0.00990542,0.00259537,0.00259537,0.0068084,0.0068084,0.00038115,0.00038115,0.00990542,0.00990542,0.00279628
1967-11-01,NoDur_excess,0.0013,0.00765333,0.01049825,0.01049825,0.01725328,0.01725328,0.00446074,0.00446074,0.00765333,0.00765333,0.0035952
1967-11-01,Other_excess,-0.0068,0.00951792,0.00580258,0.00580258,0.0146666,0.0146666,0.0024897,0.0024897,0.00951792,0.00951792,0.00218498
1967-11-01,Shops_excess,0.0048,0.00861333,-0.00035127,0.0,0.0132507,0.0132507,0.00157488,0.00157488,0.00861333,0.00861333,0.00214989
1967-11-01,Telcm_excess,-0.0028,0.00616083,-0.00922473,0.0,0.00423183,0.00423183,0.00615283,0.00615283,0.00661383,0.00661383,-0.00128232
1967-11-01,Utils_excess,0.0283,0.00800542,-0.01373246,0.0,0.00999114,0.00999114,-0.00732214,0.0,0.00800542,0.00800542,-0.00479806
1967-12-01,Durbl_excess,0.0055,0.01231042,0.00622791,0.00622791,0.00315468,0.00315468,0.00547958,0.00547958,0.01219424,0.01219424,-0.00021172
1967-12-01,Enrgy_excess,0.0274,0.01102833,0.01748226,0.01748226,0.01162628,0.01162628,0.00527745,0.00527745,0.01102833,0.01102833,0.00076665
1967-12-01,HiTec_excess,0.018,0.01454375,0.0309718,0.0309718,0.02694644,0.02694644,0.01650267,0.01650267,0.01454375,0.01454375,0.01378384
1967-12-01,Hlth_excess,0.0137,0.01245042,0.03418412,0.03418412,0.01293815,0.01293815,0.01244712,0.01244712,0.01245042,0.01245042,0.00367413
