date,asset_i,asset_j,covariance
1947-02-01,NoDur_excess,Utils_excess,0.0047732347
1947-02-01,NoDur_excess,Other_excess,0.0055974244
1947-02-01,Durbl_excess,NoDur_excess,0.006536254
1947-02-01,Durbl_excess,Durbl_excess,0.0143940413
1947-02-01,Durbl_excess,Manuf_excess,0.0110201447
1947-02-01,Durbl_excess,Enrgy_excess,0.0078025319
1947-02-01,Durbl_excess,HiTec_excess,0.0111055038
1947-02-01,Durbl_excess,Telcm_excess,0.0050928789
1947-02-01,Durbl_excess,Shops_excess,0.0089525333
1947-02-01,Durbl_excess,Hlth_excess,0.0072500638
1947-02-01,Durbl_excess,Utils_excess,0.0083467786
1947-02-01,Durbl_excess,Other_excess,0.0101644207
1947-02-01,Manuf_excess,NoDur_excess,0.0057318291
1947-02-01,Manuf_excess,Durbl_excess,0.0110201447
1947-02-01,Manuf_excess,Manuf_excess,0.009913269
1947-02-01,Manuf_excess,Enrgy_excess,0.0070985919
1947-02-01,Manuf_excess,HiTec_excess,0.0097792212
1947-02-01,Manuf_excess,Telcm_excess,0.0045763903
1947-02-01,Manuf_excess,Shops_excess,0.0075921605
1947-02-01,Manuf_excess,Hlth_excess,0.0063273447
1947-02-01,Manuf_excess,Utils_excess,0.0074676832
1947-02-01,Manuf_excess,Other_excess,0.0092346555
1947-02-01,Enrgy_excess,NoDur_excess,0.0042742516
1947-02-01,Enrgy_excess,Durbl_excess,0.0078025319
1947-02-01,Enrgy_excess,Manuf_excess,0.0070985919
1947-02-01,Enrgy_excess,Enrgy_excess,0.0071770872
1947-02-01,Enrgy_excess,HiTec_excess,0.007073986
1947-02-01,Enrgy_excess,Telcm_excess,0.003330971
1947-02-01,Enrgy_excess,Shops_excess,0.005622358
1947-02-01,Enrgy_excess,Hlth_excess,0.0047596757
1947-02-01,Enrgy_excess,Utils_excess,0.0055682538
1947-02-01,Enrgy_excess,Other_excess,0.0068269631
1947-02-01,HiTec_excess,NoDur_excess,0.0059499173
1947-02-01,HiTec_excess,Durbl_excess,0.0111055038
1947-02-01,HiTec_excess,Manuf_excess,0.0097792212
1947-02-01,HiTec_excess,Enrgy_excess,0.007073986
1947-02-01,HiTec_excess,HiTec_excess,0.01079507
1947-02-01,HiTec_excess,Telcm_excess,0.0048385987
1947-02-01,HiTec_excess,Shops_excess,0.007919379
1947-02-01,HiTec_excess,Hlth_excess,0.0067258982
1947-02-01,HiTec_excess,Utils_excess,0.0083058618
1947-02-01,HiTec_excess,Other_excess,0.0092932956
1947-02-01,Telcm_excess,NoDur_excess,0.0028576482
1947-02-01,Telcm_excess,Durbl_excess,0.0050928789
1947-02-01,Telcm_excess,Manuf_excess,0.0045763903
1947-02-01,Telcm_excess,Enrgy_excess,0.003330971
1947-02-01,Telcm_excess,HiTec_excess,0.0048385987
1947-02-01,Telcm_excess,Telcm_excess,0.0032525114
1947-02-01,Telcm_excess,Shops_excess,0.0038167617
1947-02-01,Telcm_excess,Hlth_excess,0.0032980921
1947-02-01,Telcm_excess,Utils_excess,0.0043796707
1947-02-01,Telcm_excess,Other_excess,0.0046374491
1947-02-01,Shops_excess,NoDur_excess,0.0049725385
1947-02-01,Shops_excess,Durbl_excess,0.0089525333
1947-02-01,Shops_excess,Manuf_excess,0.0075921605
1947-02-01,Shops_excess,Enrgy_excess,0.005622358
1947-02-01,Shops_excess,HiTec_excess,0.007919379
1947-02-01,Shops_excess,Telcm_excess,0.0038167617
1947-02-01,Shops_excess,Shops_excess,0.0074244896
1947-02-01,Shops_excess,Hlth_excess,0.0056791744
1947-02-01,Shops_excess,Utils_excess,0.00640663
1947-02-01,Shops_excess,Other_excess,0.0072567086
1947-02-01,Hlth_excess,NoDur_excess,0.0042638083
1947-02-01,Hlth_excess,Durbl_excess,0.0072500638
1947-02-01,Hlth_excess,Manuf_excess,0.0063273447
1947-02-01,Hlth_excess,Enrgy_excess,0.0047596757
1947-02-01,Hlth_excess,HiTec_excess,0.0067258982
1947-02-01,Hlth_excess,Telcm_excess,0.0032980921
1947-02-01,Hlth_excess,Shops_excess,0.0056791744
1947-02-01,Hlth_excess,Hlth_excess,0.0060096128
1947-02-01,Hlth_excess,Utils_excess,0.0055469713
1947-02-01,Hlth_excess,Other_excess,0.0062118638
1947-02-01,Utils_excess,NoDur_excess,0.0047732347
1947-02-01,Utils_excess,Durbl_excess,0.0083467786
1947-02-01,Utils_excess,Manuf_excess,0.0074676832
1947-02-01,Utils_excess,Enrgy_excess,0.0055682538
1947-02-01,Utils_excess,HiTec_excess,0.0083058618
1947-02-01,Utils_excess,Telcm_excess,0.0043796707
1947-02-01,Utils_excess,Shops_excess,0.00640663
1947-02-01,Utils_excess,Hlth_excess,0.0055469713
1947-02-01,Utils_excess,Utils_excess,0.0088304152
1947-02-01,Utils_excess,Other_excess,0.0077868513
1947-02-01,Other_excess,NoDur_excess,0.0055974244
1947-02-01,Other_excess,Durbl_excess,0.0101644207
1947-02-01,Other_excess,Manuf_excess,0.0092346555
1947-02-01,Other_excess,Enrgy_excess,0.0068269631
1947-02-01,Other_excess,HiTec_excess,0.0092932956
1947-02-01,Other_excess,Telcm_excess,0.0046374491
1947-02-01,Other_excess,Shops_excess,0.0072567086
1947-02-01,Other_excess,Hlth_excess,0.0062118638
1947-02-01,Other_excess,Utils_excess,0.0077868513
1947-02-01,Other_excess,Other_excess,0.0101447636
1947-03-01,NoDur_excess,NoDur_excess,0.0039575898
1947-03-01,NoDur_excess,Durbl_excess,0.0065285182
1947-03-01,NoDur_excess,Manuf_excess,0.0057277909
1947-03-01,NoDur_excess,Enrgy_excess,0.0042750696
1947-03-01,NoDur_excess,HiTec_excess,0.0059479158
1947-03-01,NoDur_excess,Telcm_excess,0.0028556692
1947-03-01,NoDur_excess,Shops_excess,0.00497054
1947-03-01,NoDur_excess,Hlth_excess,0.0042651815
1947-03-01,NoDur_excess,Utils_excess,0.0047702943
1947-03-01,NoDur_excess,Other_excess,0.0055939163
1947-03-01,Durbl_excess,NoDur_excess,0.0065285182
1947-03-01,Durbl_excess,Durbl_excess,0.014370572
1947-03-01,Durbl_excess,Manuf_excess,0.0110055026
1947-03-01,Durbl_excess,Enrgy_excess,0.0078004765
1947-03-01,Durbl_excess,HiTec_excess,0.0110951758
1947-03-01,Durbl_excess,Telcm_excess,0.0050830895
1947-03-01,Durbl_excess,Shops_excess,0.0089446165
1947-03-01,Durbl_excess,Hlth_excess,0.0072475283
1947-03-01,Durbl_excess,Utils_excess,0.0083354969
1947-03-01,Durbl_excess,Other_excess,0.0101510532
1947-03-01,Manuf_excess,NoDur_excess,0.0057277909
1947-03-01,Manuf_excess,Durbl_excess,0.0110055026
1947-03-01,Manuf_excess,Manuf_excess,0.0099054965
1947-03-01,Manuf_excess,Enrgy_excess,0.0070998952
1947-03-01,Manuf_excess,HiTec_excess,0.0097752031
1947-03-01,Manuf_excess,Telcm_excess,0.0045724402
1947-03-01,Manuf_excess,Shops_excess,0.0075882778
1947-03-01,Manuf_excess,Hlth_excess,0.0063295822
1947-03-01,Manuf_excess,Utils_excess,0.0074619902
1947-03-01,Manuf_excess,Other_excess,0.0092278684
1947-03-01,Enrgy_excess,NoDur_excess,0.0042750696
1947-03-01,Enrgy_excess,Durbl_excess,0.0078004765
1947-03-01,Enrgy_excess,Manuf_excess,0.0070998952
1947-03-01,Enrgy_excess,Enrgy_excess,0.0071818141
1947-03-01,Enrgy_excess,HiTec_excess,0.0070776841
1947-03-01,Enrgy_excess,Telcm_excess,0.0033342077
1947-03-01,Enrgy_excess,Shops_excess,0.0056236694
1947-03-01,Enrgy_excess,Hlth_excess,0.0047667017
1947-03-01,Enrgy_excess,Utils_excess,0.0055698189
1947-03-01,Enrgy_excess,Other_excess,0.0068287388
