model,asset,forecast_expanding,forecast_rolling,mean_loss_difference_expanding_minus_rolling,DM_statistic,p_value_two_sided_difference,p_value_one_sided_rolling_better,number_of_observations
elastic_net_restricted,Hlth_excess,elastic_net_restricted,elastic_net_restricted,3e-06,0.164395,0.86942,0.43471,696
elastic_net_restricted,Utils_excess,elastic_net_restricted,elastic_net_restricted,1.2e-05,0.675013,0.499668,0.249834,696
elastic_net_restricted,Other_excess,elastic_net_restricted,elastic_net_restricted,2.2e-05,0.689498,0.49051,0.245255,696
random_forest,NoDur_excess,random_forest,random_forest,-2.4e-05,-1.412417,0.157827,0.921086,696
random_forest,Durbl_excess,random_forest,random_forest,-2.7e-05,-0.389893,0.696616,0.651692,696
random_forest,Manuf_excess,random_forest,random_forest,-2.6e-05,-0.990204,0.322074,0.838963,696
random_forest,Enrgy_excess,random_forest,random_forest,-4.3e-05,-1.559719,0.118826,0.940587,696
random_forest,HiTec_excess,random_forest,random_forest,2e-06,0.059691,0.952401,0.476201,696
random_forest,Telcm_excess,random_forest,random_forest,-3.1e-05,-1.432391,0.152032,0.923984,696
random_forest,Shops_excess,random_forest,random_forest,-2.5e-05,-0.909073,0.363312,0.818344,696
random_forest,Hlth_excess,random_forest,random_forest,-3.3e-05,-1.355893,0.175133,0.912433,696
random_forest,Utils_excess,random_forest,random_forest,-1e-05,-0.543682,0.58666,0.70667,696
random_forest,Other_excess,random_forest,random_forest,-6.8e-05,-1.91596,0.05537,0.972315,696
