date,asset,realized,historical_mean
1947-01-01,NoDur_excess,0.0021,0.006664583333333333
1947-01-01,Durbl_excess,0.1087,0.011715416666666669
1947-01-01,Manuf_excess,0.0087,0.009417499999999999
1947-01-01,Enrgy_excess,-0.0068,0.006803750000000001
1947-01-01,HiTec_excess,0.0535,0.009819166666666667
1947-01-01,Telcm_excess,0.01,0.006919583333333332
1947-01-01,Shops_excess,0.0066,0.008712916666666666
1947-01-01,Hlth_excess,-0.0535,0.008590416666666665
1947-01-01,Utils_excess,-0.0017,0.007389166666666667
1947-01-01,Other_excess,0.0044,0.006249166666666667
1947-02-01,NoDur_excess,-0.003,0.00664564315352697
1947-02-01,Durbl_excess,0.0145,0.012117842323651453
1947-02-01,Manuf_excess,-0.0072,0.009414522821576763
1947-02-01,Enrgy_excess,-0.0274,0.006747302904564316
1947-02-01,HiTec_excess,-0.0211,0.010000414937759336
1947-02-01,Telcm_excess,-0.0208,0.006932365145228215
1947-02-01,Shops_excess,-0.0044,0.00870414937759336
1947-02-01,Hlth_excess,-0.0423,0.00833278008298755
1947-02-01,Utils_excess,-0.0093,0.007351452282157676
1947-02-01,Other_excess,-0.0131,0.00624149377593361
1947-03-01,NoDur_excess,-0.0226,0.006605785123966941
1947-03-01,Durbl_excess,-0.0273,0.012127685950413225
1947-03-01,Manuf_excess,-0.0163,0.00934586776859504
1947-03-01,Enrgy_excess,0.0226,0.006606198347107438
1947-03-01,HiTec_excess,-0.0232,0.009871900826446282
1947-03-01,Telcm_excess,-0.0218,0.006817768595041321
1947-03-01,Shops_excess,-0.0223,0.008650000000000001
1947-03-01,Hlth_excess,-0.0129,0.008123553719008263
1947-03-01,Utils_excess,-0.0282,0.007282644628099174
1947-03-01,Other_excess,-0.0338,0.006161570247933883
1947-04-01,NoDur_excess,-0.0668,0.006485596707818929
1947-04-01,Durbl_excess,-0.0411,0.011965432098765433
1947-04-01,Manuf_excess,-0.0577,0.009240329218106996
1947-04-01,Enrgy_excess,-0.0047,0.006672016460905351
1947-04-01,HiTec_excess,-0.0524,0.009735802469135803
1947-04-01,Telcm_excess,-0.0025,0.006699999999999999
1947-04-01,Shops_excess,-0.0801,0.008522633744855969
1947-04-01,Hlth_excess,-0.0864,0.008037037037037035
1947-04-01,Utils_excess,-0.0379,0.007136625514403292
1947-04-01,Other_excess,-0.063,0.005997119341563786
1947-05-01,NoDur_excess,-0.0058,0.006185245901639344
1947-05-01,Durbl_excess,-0.0217,0.011747950819672132
1947-05-01,Manuf_excess,-0.0212,0.008965983606557378
1947-05-01,Enrgy_excess,0.0253,0.006625409836065574
1947-05-01,HiTec_excess,-0.003,0.009481147540983607
1947-05-01,Telcm_excess,-0.0113,0.006662295081967213
1947-05-01,Shops_excess,-0.0039,0.008159426229508196
1947-05-01,Hlth_excess,-0.0268,0.007649999999999998
1947-05-01,Utils_excess,-0.0251,0.006952049180327868
1947-05-01,Other_excess,-0.021,0.005714344262295082
1947-06-01,NoDur_excess,0.0651,0.006136326530612244
1947-06-01,Durbl_excess,0.0585,0.011611428571428573
1947-06-01,Manuf_excess,0.0573,0.008842857142857144
1947-06-01,Enrgy_excess,0.0774,0.006701632653061225
1947-06-01,HiTec_excess,0.0384,0.009430204081632653
1947-06-01,Telcm_excess,-0.0322,0.006588979591836734
1947-06-01,Shops_excess,0.0987,0.008110204081632653
1947-06-01,Hlth_excess,0.0417,0.007509387755102038
1947-06-01,Utils_excess,0.0392,0.006821224489795917
1947-06-01,Other_excess,0.0316,0.00560530612244898
1947-07-01,NoDur_excess,0.0462,0.006376016260162601
1947-07-01,Durbl_excess,0.0517,0.011802032520325204
1947-07-01,Manuf_excess,0.0384,0.009039837398373983
1947-07-01,Enrgy_excess,0.0385,0.006989024390243902
1947-07-01,HiTec_excess,0.0631,0.009547967479674797
1947-07-01,Telcm_excess,0.0078,0.00643130081300813
1947-07-01,Shops_excess,0.0458,0.008478455284552846
1947-07-01,Hlth_excess,0.0258,0.007648373983739835
1947-07-01,Utils_excess,0.0248,0.006952845528455284
1947-07-01,Other_excess,0.0595,0.005710975609756098
1947-08-01,NoDur_excess,-0.0141,0.006537246963562753
1947-08-01,Durbl_excess,-0.0079,0.011963562753036438
1947-08-01,Manuf_excess,-0.0105,0.009158704453441295
1947-08-01,Enrgy_excess,-0.0233,0.0071165991902834005
1947-08-01,HiTec_excess,-0.0425,0.009764777327935223
1947-08-01,Telcm_excess,0.0033,0.0064368421052631575
1947-08-01,Shops_excess,-0.0358,0.008629554655870446
1947-08-01,Hlth_excess,-0.0386,0.007721862348178136
1947-08-01,Utils_excess,0.0021,0.007025101214574898
1947-08-01,Other_excess,-0.0321,0.005928744939271255
1947-09-01,NoDur_excess,0.0033,0.006454032258064515
1947-09-01,Durbl_excess,0.0011,0.011883467741935485
1947-09-01,Manuf_excess,0.0065,0.009079435483870966
1947-09-01,Enrgy_excess,-0.0277,0.006993951612903226
1947-09-01,HiTec_excess,0.0108,0.009554032258064516
1947-09-01,Telcm_excess,0.0077,0.006424193548387097
1947-09-01,Shops_excess,-0.0287,0.00845040322580645
1947-09-01,Hlth_excess,-0.0269,0.0075350806451612885
1947-09-01,Utils_excess,-0.0139,0.0070052419354838715
1947-09-01,Other_excess,-0.0102,0.005775403225806451
1947-10-01,NoDur_excess,0.013,0.0064413654618473894
1947-10-01,Durbl_excess,0.0287,0.011840160642570284
1947-10-01,Manuf_excess,0.0318,0.009069076305220882
1947-10-01,Enrgy_excess,0.0518,0.006854618473895583
1947-10-01,HiTec_excess,0.0168,0.009559036144578315
1947-10-01,Telcm_excess,0.0015,0.006429317269076304
1947-10-01,Shops_excess,0.0297,0.00830120481927711
1947-10-01,Hlth_excess,0.0115,0.007396787148594377
1947-10-01,Utils_excess,0.0009,0.00692128514056225
1947-10-01,Other_excess,0.0094,0.005711244979919678
1947-11-01,NoDur_excess,-0.0176,0.006467599999999999
1947-11-01,Durbl_excess,-0.0276,0.011907600000000003
1947-11-01,Manuf_excess,-0.0128,0.009159999999999998
1947-11-01,Enrgy_excess,-0.0041,0.007034400000000001
1947-11-01,HiTec_excess,-0.0061,0.009588000000000001
1947-11-01,Telcm_excess,-0.0263,0.0064096
1947-11-01,Shops_excess,-0.0249,0.008386800000000002
1947-11-01,Hlth_excess,-0.0312,0.0074132
1947-11-01,Utils_excess,-0.0769,0.006897200000000001
1947-11-01,Other_excess,-0.0204,0.005726
1947-12-01,NoDur_excess,0.0062,0.006371713147410357
1947-12-01,Durbl_excess,0.0217,0.011750199203187253
1947-12-01,Manuf_excess,0.0256,0.009072509960159361
1947-12-01,Enrgy_excess,0.0926,0.006990039840637451
1947-12-01,HiTec_excess,0.0241,0.009525498007968128
1947-12-01,Telcm_excess,0.0036,0.006279282868525896
1947-12-01,Shops_excess,0.0029,0.008254183266932273
1947-12-01,Hlth_excess,0.0304,0.007259362549800797
1947-12-01,Utils_excess,0.011,0.006563346613545818
1947-12-01,Other_excess,0.0363,0.00562191235059761
1948-01-01,NoDur_excess,-0.0276,0.006371031746031745
1948-01-01,Durbl_excess,-0.0542,0.011789682539682541
1948-01-01,Manuf_excess,-0.0415,0.009138095238095237
1948-01-01,Enrgy_excess,-0.075,0.007329761904761906
1948-01-01,HiTec_excess,-0.056,0.009583333333333334
1948-01-01,Telcm_excess,0.0003,0.006268650793650793
1948-01-01,Shops_excess,-0.0336,0.00823293650793651
1948-01-01,Hlth_excess,-0.0832,0.0073511904761904764
1948-01-01,Utils_excess,-0.0029,0.006580952380952381
1948-01-01,Other_excess,-0.0095,0.005743650793650794
1948-02-01,NoDur_excess,-0.062,0.006236758893280631
1948-02-01,Durbl_excess,-0.055,0.011528853754940713
1948-02-01,Manuf_excess,-0.054,0.008937944664031618
1948-02-01,Enrgy_excess,-0.0302,0.0070043478260869586
1948-02-01,HiTec_excess,-0.0401,0.009324110671936758
1948-02-01,Telcm_excess,-0.0113,0.006245059288537549
1948-02-01,Shops_excess,-0.0386,0.008067588932806324
1948-02-01,Hlth_excess,-0.0361,0.006993280632411067
1948-02-01,Utils_excess,-0.0366,0.006543478260869566
1948-02-01,Other_excess,-0.0419,0.005683399209486166
1948-03-01,NoDur_excess,0.054,0.00596811023622047
1948-03-01,Durbl_excess,0.0718,0.01126692913385827
1948-03-01,Manuf_excess,0.0957,0.008690157480314958
1948-03-01,Enrgy_excess,0.0986,0.006857874015748032
1948-03-01,HiTec_excess,0.1108,0.009129527559055118
1948-03-01,Telcm_excess,0.0188,0.006175984251968503
1948-03-01,Shops_excess,0.0661,0.007883858267716537
1948-03-01,Hlth_excess,0.0626,0.006823622047244095
