date,asset,realized,historical_mean,ols4,ols4_restricted
1967-08-01,Enrgy_excess,-0.0179,0.00901294,-0.00108835,0.0
1967-08-01,HiTec_excess,-0.0132,0.01182464,0.00755273,0.00755273
1967-08-01,Telcm_excess,-0.0155,0.00641951,-0.00061825,0.0
1967-08-01,Shops_excess,0.0002,0.00850041,0.00523734,0.00523734
1967-08-01,Hlth_excess,0.0034,0.00990862,0.01140991,0.01140991
1967-08-01,Utils_excess,-0.0096,0.00763244,-0.00228037,0.0
1967-08-01,Other_excess,-0.0056,0.00773347,-0.00027803,0.0
1967-09-01,NoDur_excess,0.0278,0.00708197,0.00851674,0.00851674
1967-09-01,Durbl_excess,0.0466,0.01213811,0.00637546,0.00637546
1967-09-01,Manuf_excess,0.0279,0.00960758,-0.00449522,0.0
1967-09-01,Enrgy_excess,0.0392,0.00895779,-0.00127322,0.0
1967-09-01,HiTec_excess,0.0804,0.01177336,0.00729262,0.00729262
1967-09-01,Telcm_excess,0.009,0.00637459,-0.00164756,0.0
1967-09-01,Shops_excess,0.0213,0.0084834,0.00547237,0.00547237
1967-09-01,Hlth_excess,0.0258,0.00989529,0.01177832,0.01177832
1967-09-01,Utils_excess,-0.0042,0.00759713,-0.00309962,0.0
1967-09-01,Other_excess,0.0095,0.00770615,-0.00029225,0.0
1967-10-01,NoDur_excess,-0.0301,0.00712434,0.00852261,0.00852261
1967-10-01,Durbl_excess,-0.053,0.01220859,0.00606544,0.00606544
1967-10-01,Manuf_excess,-0.0491,0.00964499,-0.00329709,0.0
1967-10-01,Enrgy_excess,-0.0135,0.00901963,-0.00111955,0.0
1967-10-01,HiTec_excess,0.045,0.0119137,0.00948708,0.00948708
1967-10-01,Telcm_excess,-0.0388,0.00637996,-0.00044151,0.0
1967-10-01,Shops_excess,0.0027,0.00850961,0.00518271,0.00518271
1967-10-01,Hlth_excess,-0.0542,0.00992781,0.01163084,0.01163084
1967-10-01,Utils_excess,-0.0576,0.00757301,-0.00201331,0.0
1967-10-01,Other_excess,-0.0543,0.00770982,-2.901e-05,0.0
1967-11-01,NoDur_excess,0.0013,0.00704837,0.00934371,0.00934371
1967-11-01,Durbl_excess,-0.0132,0.01207551,0.0075083,0.0075083
1967-11-01,Manuf_excess,0.0027,0.0095251,-0.00685098,0.0
1967-11-01,Enrgy_excess,0.0042,0.00897367,-0.00090386,0.0
1967-11-01,HiTec_excess,0.0106,0.01198122,0.00968015,0.00968015
1967-11-01,Telcm_excess,-0.0028,0.00628776,-0.00486566,0.0
1967-11-01,Shops_excess,0.0048,0.00849776,0.00644314,0.00644314
1967-11-01,Hlth_excess,0.0097,0.00979694,0.01183368,0.01183368
1967-11-01,Utils_excess,0.0283,0.00744,-0.00731305,0.0
1967-11-01,Other_excess,-0.0068,0.00758327,-0.00203696,0.0
1967-12-01,NoDur_excess,0.028,0.00703666,0.00963438,0.00963438
1967-12-01,Durbl_excess,0.0055,0.01202403,0.00732654,0.00732654
1967-12-01,Manuf_excess,0.0487,0.0095112,-0.0078787,0.0
1967-12-01,Enrgy_excess,0.0274,0.00896395,-0.00085845,0.0
1967-12-01,HiTec_excess,0.018,0.01197841,0.00964394,0.00964394
1967-12-01,Telcm_excess,-0.0021,0.00626925,-0.00634028,0.0
1967-12-01,Shops_excess,0.0312,0.00849022,0.00662812,0.00662812
1967-12-01,Hlth_excess,0.0137,0.00979674,0.0123457,0.0123457
1967-12-01,Utils_excess,0.0296,0.00748248,-0.00773289,0.0
1967-12-01,Other_excess,0.0507,0.00755397,-0.00283308,0.0
1968-01-01,NoDur_excess,-0.0083,0.00707927,0.00912681,0.00912681
1968-01-01,Durbl_excess,-0.0555,0.01201077,0.00456619,0.00456619
1968-01-01,Manuf_excess,-0.0676,0.00959085,-0.00353587,0.0
1968-01-01,Enrgy_excess,-0.013,0.00900142,-0.00074512,0.0
1968-01-01,HiTec_excess,-0.0913,0.01199065,0.01214479,0.01214479
1968-01-01,Telcm_excess,0.0227,0.00625224,-0.00312656,0.0
1968-01-01,Shops_excess,0.0073,0.00853638,0.00574874,0.00574874
1968-01-01,Hlth_excess,-0.0697,0.00980467,0.01140401,0.01140401
1968-01-01,Utils_excess,-0.0022,0.00752744,-0.00228276,0.0
1968-01-01,Other_excess,-0.023,0.00764167,-0.00023871,0.0
1968-02-01,NoDur_excess,-0.031,0.00704807,0.00822476,0.00822476
1968-02-01,Durbl_excess,-0.0273,0.01187383,0.00204101,0.00204101
1968-02-01,Manuf_excess,-0.0466,0.00943428,-0.00351917,0.0
