date,model,cum_r2_os,r2_change,abs_change
1975-01-01,random_forest,0.006020529638184102,-0.016616341002439194,0.016616341002439194
1970-04-01,ols_restricted,0.006697834120677615,0.016183007966556154,0.016183007966556154
1970-04-01,ols4_restricted,0.0199408058932684,0.011378537172786607,0.011378537172786607
1970-07-01,ols4_restricted,0.022592667024880376,-0.011156381701092562,0.011156381701092562
1970-07-01,ols_restricted,0.013057666476697028,-0.010458130303011782,0.010458130303011782
1970-07-01,random_forest,0.012920782208000492,-0.010331588450891849,0.010331588450891849
1970-07-01,elastic_net_restricted,0.0018900345720174738,-0.01007131418965782,0.01007131418965782
1970-04-01,elastic_net_restricted,-0.0013841563184057494,0.010068907899097179,0.010068907899097179
1970-05-01,ols_restricted,0.01629949350495279,0.009601659384275174,0.009601659384275174
1970-02-01,ols4_restricted,0.009278291445812593,-0.00873558131870843,0.00873558131870843
1975-01-01,ols4_restricted,0.0242265083392079,-0.008633006784299388,0.008633006784299388
1970-05-01,ols4_restricted,0.027488675494176485,0.007547869600908086,0.007547869600908086
1970-01-01,ols4_restricted,0.018013872764521023,0.0074303297517569165,0.0074303297517569165
1970-06-01,ols_restricted,0.02351579677970881,0.00721630327475602,0.00721630327475602
1970-12-01,random_forest,-0.0040939103242886524,-0.006918016694005203,0.006918016694005203
1970-05-01,elastic_net_restricted,0.005504006477659329,0.006888162796065078,0.006888162796065078
1970-01-01,ols_restricted,-0.010102665111494857,0.006524897492017045,0.006524897492017045
1970-06-01,elastic_net_restricted,0.011961348761675294,0.006457342284015965,0.006457342284015965
1970-06-01,ols4_restricted,0.03374904872597294,0.006260373231796453,0.006260373231796453
1970-11-01,ols_restricted,0.0011883676181000836,-0.005837861917853559,0.005837861917853559
1970-11-01,elastic_net_restricted,-0.006781281881427947,-0.0053266144742283635,0.0053266144742283635
1971-05-01,random_forest,-0.009032276473902479,0.005305754721119937,0.005305754721119937
1971-12-01,ols4_restricted,0.004881803990662248,-0.005248371203512314,0.005248371203512314
1970-08-01,ols4_restricted,0.01744563613101261,-0.005147030893867765,0.005147030893867765
1970-11-01,random_forest,0.00282410636971655,-0.0051134369201623064,0.0051134369201623064
1970-06-01,random_forest,0.02325237065889234,0.005091700580192451,0.005091700580192451
1971-01-01,random_forest,-0.00913819256587215,-0.005044282241583497,0.005044282241583497
1975-01-01,ols_restricted,-0.01437768838356942,0.004928653257963612,0.004928653257963612
1970-11-01,ols4_restricted,0.011481550420139286,-0.004882510420091244,0.004882510420091244
1970-12-01,ols4_restricted,0.0067126718988751,-0.004768878521264186,0.004768878521264186
1970-12-01,ols_restricted,-0.0035313429697009678,-0.004719710587801051,0.004719710587801051
1970-07-01,ridge_restricted,0.01470589963489748,-0.004613841171889097,0.004613841171889097
1970-09-01,ols_restricted,0.004131324671880409,-0.0045429718047695355,0.0045429718047695355
1971-07-01,random_forest,-0.004495892828432502,0.004506550273929855,0.004506550273929855
1970-01-01,ridge_restricted,0.014653445301046886,0.004486029796604863,0.004486029796604863
1970-08-01,ols_restricted,0.008674296476649945,-0.004383370000047083,0.004383370000047083
1970-04-01,ridge_restricted,0.016339136978158763,0.004340888419063226,0.004340888419063226
1971-05-01,ols_restricted,-0.00849505461660247,0.004269560970761166,0.004269560970761166
1970-04-01,random_forest,0.014131418245761918,0.004180597052045654,0.004180597052045654
1971-03-01,ols_restricted,-0.011293271576757557,-0.004136085137237366,0.004136085137237366
1970-05-01,random_forest,0.01816067007869989,0.004029251832937973,0.004029251832937973
1970-09-01,random_forest,0.005640469929527425,-0.00374151856913858,0.00374151856913858
1972-11-01,ols4_restricted,-0.0016336032462442973,-0.0036409933419976562,0.0036409933419976562
1970-08-01,elastic_net_restricted,-0.0017150428789855176,-0.0036050774510029914,0.0036050774510029914
