date,asset,realized,historical_mean,ridge,ridge_restricted,ridge_alpha
1967-08-01,Enrgy_excess,-0.0179,0.00901294,0.00460051,0.00460051,1000.0
1967-08-01,HiTec_excess,-0.0132,0.01182464,0.01114096,0.01114096,3000.0
1967-08-01,Telcm_excess,-0.0155,0.00641951,0.00641828,0.00641828,1000000.0
1967-08-01,Shops_excess,0.0002,0.00850041,0.00616323,0.00616323,1000.0
1967-08-01,Hlth_excess,0.0034,0.00990862,0.00990207,0.00990207,1000000.0
1967-08-01,Utils_excess,-0.0096,0.00763244,0.00619646,0.00619646,1000.0
1967-08-01,Other_excess,-0.0056,0.00773347,0.00542762,0.00542762,3000.0
1967-09-01,NoDur_excess,0.0278,0.00708197,0.00633913,0.00633913,3000.0
1967-09-01,Durbl_excess,0.0466,0.01213811,0.00770009,0.00770009,3000.0
1967-09-01,Manuf_excess,0.0279,0.00960758,0.00651114,0.00651114,3000.0
1967-09-01,Enrgy_excess,0.0392,0.00895779,0.00382285,0.00382285,1000.0
1967-09-01,HiTec_excess,0.0804,0.01177336,0.01134098,0.01134098,3000.0
1967-09-01,Telcm_excess,0.009,0.00637459,0.00637265,0.00637265,1000000.0
1967-09-01,Shops_excess,0.0213,0.0084834,0.00789478,0.00789478,1000.0
1967-09-01,Hlth_excess,0.0258,0.00989529,0.0098904,0.0098904,1000000.0
1967-09-01,Utils_excess,-0.0042,0.00759713,0.00693074,0.00693074,1000.0
1967-09-01,Other_excess,0.0095,0.00770615,0.0054464,0.0054464,3000.0
1967-10-01,NoDur_excess,-0.0301,0.00712434,0.00638808,0.00638808,3000.0
1967-10-01,Durbl_excess,-0.053,0.01220859,0.00736687,0.00736687,3000.0
1967-10-01,Manuf_excess,-0.0491,0.00964499,0.00627915,0.00627915,3000.0
1967-10-01,Enrgy_excess,-0.0135,0.00901963,0.00353825,0.00353825,1000.0
1967-10-01,HiTec_excess,0.045,0.0119137,0.01164648,0.01164648,3000.0
1967-10-01,Telcm_excess,-0.0388,0.00637996,0.00637876,0.00637876,1000000.0
1967-10-01,Shops_excess,0.0027,0.00850961,0.00792663,0.00792663,1000.0
1967-10-01,Hlth_excess,-0.0542,0.00992781,0.00992225,0.00992225,1000000.0
1967-10-01,Utils_excess,-0.0576,0.00757301,0.0073485,0.0073485,1000.0
1967-10-01,Other_excess,-0.0543,0.00770982,0.00525509,0.00525509,3000.0
1967-11-01,NoDur_excess,0.0013,0.00704837,0.00650054,0.00650054,3000.0
1967-11-01,Durbl_excess,-0.0132,0.01207551,0.00849605,0.00849605,3000.0
1967-11-01,Manuf_excess,0.0027,0.0095251,0.00659758,0.00659758,3000.0
1967-11-01,Enrgy_excess,0.0042,0.00897367,0.00392713,0.00392713,1000.0
1967-11-01,HiTec_excess,0.0106,0.01198122,0.01236661,0.01236661,3000.0
1967-11-01,Telcm_excess,-0.0028,0.00628776,0.0062828,0.0062828,1000000.0
1967-11-01,Shops_excess,0.0048,0.00849776,0.00925709,0.00925709,1000.0
1967-11-01,Hlth_excess,0.0097,0.00979694,0.00979362,0.00979362,1000000.0
1967-11-01,Utils_excess,0.0283,0.00744,0.00557331,0.00557331,1000.0
1967-11-01,Other_excess,-0.0068,0.00758327,0.00515949,0.00515949,3000.0
1967-12-01,NoDur_excess,0.028,0.00703666,0.00603041,0.00603041,3000.0
1967-12-01,Durbl_excess,0.0055,0.01202403,0.00752704,0.00752704,3000.0
1967-12-01,Manuf_excess,0.0487,0.0095112,0.00677023,0.00677023,3000.0
1967-12-01,Enrgy_excess,0.0274,0.00896395,0.0052876,0.0052876,1000.0
1967-12-01,HiTec_excess,0.018,0.01197841,0.01198655,0.01198655,3000.0
1967-12-01,Telcm_excess,-0.0021,0.00626925,0.00626423,0.00626423,1000000.0
1967-12-01,Shops_excess,0.0312,0.00849022,0.00621632,0.00621632,1000.0
1967-12-01,Hlth_excess,0.0137,0.00979674,0.00979118,0.00979118,1000000.0
1967-12-01,Utils_excess,0.0296,0.00748248,0.00414273,0.00414273,1000.0
1967-12-01,Other_excess,0.0507,0.00755397,0.00510931,0.00510931,3000.0
1968-01-01,NoDur_excess,-0.0083,0.00707927,0.00572415,0.00572415,3000.0
1968-01-01,Durbl_excess,-0.0555,0.01201077,0.00545218,0.00545218,3000.0
1968-01-01,Manuf_excess,-0.0676,0.00959085,0.00587404,0.00587404,3000.0
1968-01-01,Enrgy_excess,-0.013,0.00900142,0.00386275,0.00386275,1000.0
