date,asset,realized,historical_mean,ols,ols_restricted
1967-08-01,Enrgy_excess,-0.0179,0.00901294,-0.00263088,0.0
1967-08-01,HiTec_excess,-0.0132,0.01182464,0.00595106,0.00595106
1967-08-01,Telcm_excess,-0.0155,0.00641951,0.00193467,0.00193467
1967-08-01,Shops_excess,0.0002,0.00850041,0.00199374,0.00199374
1967-08-01,Hlth_excess,0.0034,0.00990862,0.00706373,0.00706373
1967-08-01,Utils_excess,-0.0096,0.00763244,-0.00323906,0.0
1967-08-01,Other_excess,-0.0056,0.00773347,-0.00093948,0.0
1967-09-01,NoDur_excess,0.0278,0.00708197,0.00505095,0.00505095
1967-09-01,Durbl_excess,0.0466,0.01213811,0.00325053,0.00325053
1967-09-01,Manuf_excess,0.0279,0.00960758,-0.00659298,0.0
1967-09-01,Enrgy_excess,0.0392,0.00895779,-0.00410467,0.0
1967-09-01,HiTec_excess,0.0804,0.01177336,0.0075583,0.0075583
1967-09-01,Telcm_excess,0.009,0.00637459,0.00015845,0.00015845
1967-09-01,Shops_excess,0.0213,0.0084834,0.0053124,0.0053124
1967-09-01,Hlth_excess,0.0258,0.00989529,0.00968214,0.00968214
1967-09-01,Utils_excess,-0.0042,0.00759713,-0.00214111,0.0
1967-09-01,Other_excess,0.0095,0.00770615,-0.00034021,0.0
1967-10-01,NoDur_excess,-0.0301,0.00712434,0.00739889,0.00739889
1967-10-01,Durbl_excess,-0.053,0.01220859,0.00244787,0.00244787
1967-10-01,Manuf_excess,-0.0491,0.00964499,-0.00671463,0.0
1967-10-01,Enrgy_excess,-0.0135,0.00901963,-0.00433798,0.0
1967-10-01,HiTec_excess,0.045,0.0119137,0.01231394,0.01231394
1967-10-01,Telcm_excess,-0.0388,0.00637996,0.00534528,0.00534528
1967-10-01,Shops_excess,0.0027,0.00850961,0.00881745,0.00881745
1967-10-01,Hlth_excess,-0.0542,0.00992781,0.00993414,0.00993414
1967-10-01,Utils_excess,-0.0576,0.00757301,0.00361531,0.00361531
1967-10-01,Other_excess,-0.0543,0.00770982,0.00134033,0.00134033
1967-11-01,NoDur_excess,0.0013,0.00704837,0.00296434,0.00296434
1967-11-01,Durbl_excess,-0.0132,0.01207551,0.01070211,0.01070211
1967-11-01,Manuf_excess,0.0027,0.0095251,-0.0015507,0.0
1967-11-01,Enrgy_excess,0.0042,0.00897367,-0.00104916,0.0
1967-11-01,HiTec_excess,0.0106,0.01198122,0.00899771,0.00899771
1967-11-01,Telcm_excess,-0.0028,0.00628776,-0.01193453,0.0
1967-11-01,Shops_excess,0.0048,0.00849776,0.00217143,0.00217143
1967-11-01,Hlth_excess,0.0097,0.00979694,0.01215072,0.01215072
1967-11-01,Utils_excess,0.0283,0.00744,-0.0147017,0.0
1967-11-01,Other_excess,-0.0068,0.00758327,-0.00208431,0.0
1967-12-01,NoDur_excess,0.028,0.00703666,-0.00301145,0.0
1967-12-01,Durbl_excess,0.0055,0.01202403,0.00060571,0.00060571
1967-12-01,Manuf_excess,0.0487,0.0095112,-0.00905045,0.0
1967-12-01,Enrgy_excess,0.0274,0.00896395,-0.00198891,0.0
1967-12-01,HiTec_excess,0.018,0.01197841,-0.00059056,0.0
1967-12-01,Telcm_excess,-0.0021,0.00626925,-0.01621812,0.0
1967-12-01,Shops_excess,0.0312,0.00849022,-0.00879056,0.0
1967-12-01,Hlth_excess,0.0137,0.00979674,0.00538794,0.00538794
1967-12-01,Utils_excess,0.0296,0.00748248,-0.02354523,0.0
1967-12-01,Other_excess,0.0507,0.00755397,-0.01005732,0.0
1968-01-01,NoDur_excess,-0.0083,0.00707927,0.00425344,0.00425344
1968-01-01,Durbl_excess,-0.0555,0.01201077,-0.00721865,0.0
1968-01-01,Manuf_excess,-0.0676,0.00959085,-0.01308111,0.0
1968-01-01,Enrgy_excess,-0.013,0.00900142,-0.0055983,0.0
1968-01-01,HiTec_excess,-0.0913,0.01199065,0.00962238,0.00962238
1968-01-01,Telcm_excess,0.0227,0.00625224,0.00224872,0.00224872
1968-01-01,Shops_excess,0.0073,0.00853638,-0.00011992,0.0
1968-01-01,Hlth_excess,-0.0697,0.00980467,0.00410957,0.00410957
1968-01-01,Utils_excess,-0.0022,0.00752744,-0.00221977,0.0
1968-01-01,Other_excess,-0.023,0.00764167,-0.00251422,0.0
1968-02-01,NoDur_excess,-0.031,0.00704807,0.00796474,0.00796474
1968-02-01,Durbl_excess,-0.0273,0.01187383,-0.01262281,0.0
1968-02-01,Manuf_excess,-0.0466,0.00943428,-0.01841604,0.0
1968-02-01,Enrgy_excess,-0.0307,0.0089568,-0.00725692,0.0
1968-02-01,HiTec_excess,-0.0497,0.01178114,0.01210448,0.01210448
1968-02-01,Telcm_excess,-0.0281,0.0062856,0.01244975,0.01244975
1968-02-01,Shops_excess,-0.0124,0.00853387,0.00869334,0.00869334
1968-02-01,Hlth_excess,-0.0464,0.00964341,0.00102528,0.00102528
1968-02-01,Utils_excess,-0.0188,0.00750771,0.01005545,0.01005545
1968-02-01,Other_excess,-0.0383,0.00757951,-0.00094458,0.0
1968-03-01,NoDur_excess,0.0026,0.00697105,0.00663403,0.00663403
1968-03-01,Durbl_excess,0.0027,0.01179453,-0.00014378,0.0
1968-03-01,Manuf_excess,0.0046,0.00932085,-0.00653048,0.0
1968-03-01,Enrgy_excess,0.0036,0.00887652,-0.00181328,0.0
1968-03-01,HiTec_excess,0.0386,0.01165668,0.01228776,0.01228776
1968-03-01,Telcm_excess,-0.015,0.00621599,0.00059044,0.00059044
1968-03-01,Shops_excess,0.0248,0.0084915,0.00717269,0.00717269
1968-03-01,Hlth_excess,-0.0027,0.00952996,0.00665223,0.00665223
1968-03-01,Utils_excess,-0.0432,0.00745445,0.00230579,0.00230579
1968-03-01,Other_excess,-0.0065,0.00748664,0.00092836,0.00092836
1968-04-01,NoDur_excess,0.1054,0.00696222,0.00468119,0.00468119
1968-04-01,Durbl_excess,0.1126,0.01177616,0.00532786,0.00532786
1968-04-01,Manuf_excess,0.1022,0.00931131,0.0012898,0.0012898
1968-04-01,Enrgy_excess,0.0522,0.00886586,0.00290499,0.00290499
1968-04-01,HiTec_excess,0.1201,0.01171111,0.01267987,0.01267987
1968-04-01,Telcm_excess,0.0178,0.00617313,-0.00766515,0.0
1968-04-01,Shops_excess,0.1179,0.00852444,0.00166702,0.00166702
1968-04-01,Hlth_excess,0.1147,0.00950525,0.0091056,0.0091056
1968-04-01,Utils_excess,0.0199,0.00735212,-0.0070783,0.0
1968-04-01,Other_excess,0.1151,0.00745838,0.00243994,0.00243994
1968-05-01,NoDur_excess,0.0455,0.00716069,0.00343197,0.00343197
1968-05-01,Durbl_excess,-0.0079,0.01197944,-0.0060426,0.0
1968-05-01,Manuf_excess,0.0271,0.00949859,-0.00356528,0.0
1968-05-01,Enrgy_excess,0.0079,0.00895323,0.00204762,0.00204762
1968-05-01,HiTec_excess,0.0338,0.01192964,0.01039081,0.01039081
1968-05-01,Telcm_excess,-0.0118,0.00619657,0.00141644,0.00141644
1968-05-01,Shops_excess,0.0298,0.00874496,4.035e-05,4.035e-05
1968-05-01,Hlth_excess,0.029,0.00971734,0.00209315,0.00209315
1968-05-01,Utils_excess,-0.0001,0.00737742,-0.00371893,0.0
1968-05-01,Other_excess,0.0578,0.0076754,0.00146475,0.00146475
1968-06-01,NoDur_excess,0.0057,0.00723783,0.01170355,0.01170355
1968-06-01,Durbl_excess,-0.0185,0.01193944,0.00236608,0.00236608
1968-06-01,Manuf_excess,-0.0065,0.009534,0.00709473,0.00709473
1968-06-01,Enrgy_excess,0.0141,0.00895111,0.00460519,0.00460519
1968-06-01,HiTec_excess,-0.0246,0.01197364,0.02489754,0.02489754
1968-06-01,Telcm_excess,0.0375,0.00616036,0.00606047,0.00606047
1968-06-01,Shops_excess,0.0008,0.00878732,0.01144824,0.01144824
1968-06-01,Hlth_excess,0.018,0.00975614,0.0111246,0.0111246
1968-06-01,Utils_excess,0.0802,0.00736237,0.00792278,0.00792278
1968-06-01,Other_excess,0.026,0.00777626,0.01277735,0.01277735
1968-07-01,NoDur_excess,-0.0417,0.00723474,0.00869351,0.00869351
1968-07-01,Durbl_excess,-0.034,0.01187831,-0.0050807,0.0
1968-07-01,Manuf_excess,-0.0445,0.00950181,0.00250444,0.00250444
1968-07-01,Enrgy_excess,0.048,0.00896145,0.00408243,0.00408243
1968-07-01,HiTec_excess,-0.0599,0.0119002,0.01969618,0.01969618
1968-07-01,Telcm_excess,-0.0068,0.00622329,0.0093117,0.0093117
1968-07-01,Shops_excess,-0.0564,0.00877129,0.006258,0.006258
1968-07-01,Hlth_excess,-0.046,0.00977269,0.00581454,0.00581454
1968-07-01,Utils_excess,-0.003,0.00750863,0.00847287,0.00847287
1968-07-01,Other_excess,-0.0349,0.00781285,0.01165457,0.01165457
1968-08-01,NoDur_excess,0.0232,0.00713667,0.0112777,0.0112777
1968-08-01,Durbl_excess,0.0083,0.01178637,-0.00664328,0.0
1968-08-01,Manuf_excess,0.0292,0.00939359,-0.00483373,0.0
1968-08-01,Enrgy_excess,0.0088,0.00903968,0.00112995,0.00112995
1968-08-01,HiTec_excess,0.0012,0.01175631,0.02106213,0.02106213
1968-08-01,Telcm_excess,0.0087,0.00619719,0.01686017,0.01686017
1968-08-01,Shops_excess,0.0184,0.00864068,0.01382109,0.01382109
1968-08-01,Hlth_excess,0.0026,0.00966092,0.00473217,0.00473217
1968-08-01,Utils_excess,-0.0129,0.00748758,0.0204167,0.0204167
1968-08-01,Other_excess,0.022,0.00772725,0.01011264,0.01011264
1968-09-01,NoDur_excess,0.0444,0.0071688,0.01692119,0.01692119
1968-09-01,Durbl_excess,0.0621,0.0117794,0.00713786,0.00713786
1968-09-01,Manuf_excess,0.0412,0.0094332,0.00413444,0.00413444
1968-09-01,Enrgy_excess,0.0308,0.0090392,0.00209787,0.00209787
1968-09-01,HiTec_excess,0.0251,0.0117352,0.02825424,0.02825424
1968-09-01,Telcm_excess,0.0254,0.0062022,0.01535801,0.01535801
1968-09-01,Shops_excess,0.0741,0.0086602,0.02144465,0.02144465
1968-09-01,Hlth_excess,0.0041,0.0096468,0.0140911,0.0140911
1968-09-01,Utils_excess,-0.0017,0.0074468,0.02305374,0.02305374
1968-09-01,Other_excess,0.0901,0.0077558,0.01617398,0.01617398
1968-10-01,NoDur_excess,0.0043,0.00724311,0.01245262,0.01245262
1968-10-01,Durbl_excess,0.0423,0.01187984,0.00944857,0.00944857
1968-10-01,Manuf_excess,0.0049,0.00949661,0.01099939,0.01099939
1968-10-01,Enrgy_excess,0.0215,0.00908263,0.00688286,0.00688286
1968-10-01,HiTec_excess,-0.0534,0.01176188,0.02360202,0.02360202
1968-10-01,Telcm_excess,0.0273,0.00624052,0.00616977,0.00616977
1968-10-01,Shops_excess,0.0025,0.00879082,0.01172791,0.01172791
1968-10-01,Hlth_excess,-0.0048,0.00963573,0.01382901,0.01382901
1968-10-01,Utils_excess,0.0005,0.00742854,0.00919606,0.00919606
1968-10-01,Other_excess,0.0065,0.00792016,0.01668608,0.01668608
1968-11-01,NoDur_excess,0.0425,0.00723725,0.00742768,0.00742768
1968-11-01,Durbl_excess,-0.0056,0.01194044,0.00546535,0.00546535
1968-11-01,Manuf_excess,0.0535,0.00948745,0.00890677,0.00890677
1968-11-01,Enrgy_excess,0.0526,0.00910737,0.0069133,0.0069133
1968-11-01,HiTec_excess,0.0819,0.01163207,0.01600921,0.01600921
1968-11-01,Telcm_excess,0.0497,0.00628247,0.00014885,0.00014885
1968-11-01,Shops_excess,0.0472,0.00877829,0.00335932,0.00335932
1968-11-01,Hlth_excess,0.077,0.00960697,0.01026991,0.01026991
1968-11-01,Utils_excess,0.0839,0.00741474,-0.00055062,0.0
1968-11-01,Other_excess,0.0729,0.00791733,0.01206849,0.01206849
1968-12-01,NoDur_excess,-0.0145,0.00730736,0.01147892,0.01147892
1968-12-01,Durbl_excess,-0.0489,0.01190557,0.0123214,0.0123214
1968-12-01,Manuf_excess,-0.0375,0.00957495,0.01303062,0.01303062
1968-12-01,Enrgy_excess,-0.0296,0.00919384,0.00779709,0.00779709
1968-12-01,HiTec_excess,-0.0577,0.01177177,0.02140349,0.02140349
1968-12-01,Telcm_excess,-0.071,0.00636879,0.0008494,0.0008494
1968-12-01,Shops_excess,-0.0456,0.00885467,0.00831465,0.00831465
1968-12-01,Hlth_excess,-0.0145,0.00974095,0.01703076,0.01703076
1968-12-01,Utils_excess,-0.0335,0.0075668,0.00340106,0.00340106
1968-12-01,Other_excess,-0.0411,0.00804652,0.01653138,0.01653138
1969-01-01,NoDur_excess,-0.0172,0.00726409,0.0134077,0.0134077
1969-01-01,Durbl_excess,-0.0225,0.01178492,0.01168008,0.01168008
