date,asset_i,asset_j,covariance
1967-02-01,NoDur_excess,Utils_excess,0.0027475603
1967-02-01,NoDur_excess,Other_excess,0.0033311357
1967-02-01,Durbl_excess,NoDur_excess,0.0037534103
1967-02-01,Durbl_excess,Durbl_excess,0.0083544364
1967-02-01,Durbl_excess,Manuf_excess,0.0062414929
1967-02-01,Durbl_excess,Enrgy_excess,0.0045219959
1967-02-01,Durbl_excess,HiTec_excess,0.0062746012
1967-02-01,Durbl_excess,Telcm_excess,0.0028442117
1967-02-01,Durbl_excess,Shops_excess,0.0050166316
1967-02-01,Durbl_excess,Hlth_excess,0.0041973097
1967-02-01,Durbl_excess,Utils_excess,0.0045786295
1967-02-01,Durbl_excess,Other_excess,0.0057182915
1967-02-01,Manuf_excess,NoDur_excess,0.0033971194
1967-02-01,Manuf_excess,Durbl_excess,0.0062414929
1967-02-01,Manuf_excess,Manuf_excess,0.0058161812
1967-02-01,Manuf_excess,Enrgy_excess,0.0042077995
1967-02-01,Manuf_excess,HiTec_excess,0.0057477859
1967-02-01,Manuf_excess,Telcm_excess,0.002613501
1967-02-01,Manuf_excess,Shops_excess,0.0043537052
1967-02-01,Manuf_excess,Hlth_excess,0.0038911817
1967-02-01,Manuf_excess,Utils_excess,0.0041468427
1967-02-01,Manuf_excess,Other_excess,0.0053603009
1967-02-01,Enrgy_excess,NoDur_excess,0.0025226175
1967-02-01,Enrgy_excess,Durbl_excess,0.0045219959
1967-02-01,Enrgy_excess,Manuf_excess,0.0042077995
1967-02-01,Enrgy_excess,Enrgy_excess,0.0045690144
1967-02-01,Enrgy_excess,HiTec_excess,0.0041280923
1967-02-01,Enrgy_excess,Telcm_excess,0.0019231526
1967-02-01,Enrgy_excess,Shops_excess,0.0032204552
1967-02-01,Enrgy_excess,Hlth_excess,0.0029382311
1967-02-01,Enrgy_excess,Utils_excess,0.0031648851
1967-02-01,Enrgy_excess,Other_excess,0.0040314074
1967-02-01,HiTec_excess,NoDur_excess,0.0035399894
1967-02-01,HiTec_excess,Durbl_excess,0.0062746012
1967-02-01,HiTec_excess,Manuf_excess,0.0057477859
1967-02-01,HiTec_excess,Enrgy_excess,0.0041280923
1967-02-01,HiTec_excess,HiTec_excess,0.0065528258
1967-02-01,HiTec_excess,Telcm_excess,0.0027876899
1967-02-01,HiTec_excess,Shops_excess,0.0045591683
1967-02-01,HiTec_excess,Hlth_excess,0.0041783601
1967-02-01,HiTec_excess,Utils_excess,0.0045979984
1967-02-01,HiTec_excess,Other_excess,0.0054032191
1967-02-01,Telcm_excess,NoDur_excess,0.0017087024
1967-02-01,Telcm_excess,Durbl_excess,0.0028442117
1967-02-01,Telcm_excess,Manuf_excess,0.002613501
1967-02-01,Telcm_excess,Enrgy_excess,0.0019231526
1967-02-01,Telcm_excess,HiTec_excess,0.0027876899
1967-02-01,Telcm_excess,Telcm_excess,0.0020346166
1967-02-01,Telcm_excess,Shops_excess,0.0021855373
1967-02-01,Telcm_excess,Hlth_excess,0.0019752496
1967-02-01,Telcm_excess,Utils_excess,0.0024515699
1967-02-01,Telcm_excess,Other_excess,0.0026239254
1967-02-01,Shops_excess,NoDur_excess,0.0029449993
1967-02-01,Shops_excess,Durbl_excess,0.0050166316
1967-02-01,Shops_excess,Manuf_excess,0.0043537052
1967-02-01,Shops_excess,Enrgy_excess,0.0032204552
1967-02-01,Shops_excess,HiTec_excess,0.0045591683
1967-02-01,Shops_excess,Telcm_excess,0.0021855373
1967-02-01,Shops_excess,Shops_excess,0.0043102482
1967-02-01,Shops_excess,Hlth_excess,0.0033544141
1967-02-01,Shops_excess,Utils_excess,0.0035590205
1967-02-01,Shops_excess,Other_excess,0.0041596761
1967-02-01,Hlth_excess,NoDur_excess,0.00266867
1967-02-01,Hlth_excess,Durbl_excess,0.0041973097
1967-02-01,Hlth_excess,Manuf_excess,0.0038911817
1967-02-01,Hlth_excess,Enrgy_excess,0.0029382311
1967-02-01,Hlth_excess,HiTec_excess,0.0041783601
1967-02-01,Hlth_excess,Telcm_excess,0.0019752496
1967-02-01,Hlth_excess,Shops_excess,0.0033544141
1967-02-01,Hlth_excess,Hlth_excess,0.0040801103
1967-02-01,Hlth_excess,Utils_excess,0.0031997405
1967-02-01,Hlth_excess,Other_excess,0.0037541227
1967-02-01,Utils_excess,NoDur_excess,0.0027475603
1967-02-01,Utils_excess,Durbl_excess,0.0045786295
1967-02-01,Utils_excess,Manuf_excess,0.0041468427
1967-02-01,Utils_excess,Enrgy_excess,0.0031648851
1967-02-01,Utils_excess,HiTec_excess,0.0045979984
1967-02-01,Utils_excess,Telcm_excess,0.0024515699
1967-02-01,Utils_excess,Shops_excess,0.0035590205
1967-02-01,Utils_excess,Hlth_excess,0.0031997405
1967-02-01,Utils_excess,Utils_excess,0.004853525
1967-02-01,Utils_excess,Other_excess,0.0043067096
1967-02-01,Other_excess,NoDur_excess,0.0033311357
1967-02-01,Other_excess,Durbl_excess,0.0057182915
1967-02-01,Other_excess,Manuf_excess,0.0053603009
1967-02-01,Other_excess,Enrgy_excess,0.0040314074
1967-02-01,Other_excess,HiTec_excess,0.0054032191
1967-02-01,Other_excess,Telcm_excess,0.0026239254
1967-02-01,Other_excess,Shops_excess,0.0041596761
1967-02-01,Other_excess,Hlth_excess,0.0037541227
1967-02-01,Other_excess,Utils_excess,0.0043067096
1967-02-01,Other_excess,Other_excess,0.0058843728
1967-03-01,NoDur_excess,NoDur_excess,0.0024757882
1967-03-01,NoDur_excess,Durbl_excess,0.0037490941
1967-03-01,NoDur_excess,Manuf_excess,0.0033947873
1967-03-01,NoDur_excess,Enrgy_excess,0.0025221806
1967-03-01,NoDur_excess,HiTec_excess,0.0035394185
1967-03-01,NoDur_excess,Telcm_excess,0.0017073951
1967-03-01,NoDur_excess,Shops_excess,0.0029441419
1967-03-01,NoDur_excess,Hlth_excess,0.0026684406
1967-03-01,NoDur_excess,Utils_excess,0.0027452134
1967-03-01,NoDur_excess,Other_excess,0.0033288012
1967-03-01,Durbl_excess,NoDur_excess,0.0037490941
1967-03-01,Durbl_excess,Durbl_excess,0.0083441189
1967-03-01,Durbl_excess,Manuf_excess,0.0062343278
1967-03-01,Durbl_excess,Enrgy_excess,0.0045222379
1967-03-01,Durbl_excess,HiTec_excess,0.0062672662
1967-03-01,Durbl_excess,Telcm_excess,0.0028388155
1967-03-01,Durbl_excess,Shops_excess,0.0050115467
1967-03-01,Durbl_excess,Hlth_excess,0.0041965022
1967-03-01,Durbl_excess,Utils_excess,0.0045747225
1967-03-01,Durbl_excess,Other_excess,0.0057127108
1967-03-01,Manuf_excess,NoDur_excess,0.0033947873
1967-03-01,Manuf_excess,Durbl_excess,0.0062343278
1967-03-01,Manuf_excess,Manuf_excess,0.0058117624
1967-03-01,Manuf_excess,Enrgy_excess,0.0042075169
1967-03-01,Manuf_excess,HiTec_excess,0.0057447841
1967-03-01,Manuf_excess,Telcm_excess,0.0026105494
1967-03-01,Manuf_excess,Shops_excess,0.0043512375
1967-03-01,Manuf_excess,Hlth_excess,0.0038907117
1967-03-01,Manuf_excess,Utils_excess,0.0041435326
1967-03-01,Manuf_excess,Other_excess,0.0053564253
1967-03-01,Enrgy_excess,NoDur_excess,0.0025221806
1967-03-01,Enrgy_excess,Durbl_excess,0.0045222379
1967-03-01,Enrgy_excess,Manuf_excess,0.0042075169
1967-03-01,Enrgy_excess,Enrgy_excess,0.0045693734
1967-03-01,Enrgy_excess,HiTec_excess,0.004126572
1967-03-01,Enrgy_excess,Telcm_excess,0.0019226355
1967-03-01,Enrgy_excess,Shops_excess,0.0032197141
1967-03-01,Enrgy_excess,Hlth_excess,0.0029381766
1967-03-01,Enrgy_excess,Utils_excess,0.0031654596
1967-03-01,Enrgy_excess,Other_excess,0.0040315383
1967-03-01,HiTec_excess,NoDur_excess,0.0035394185
1967-03-01,HiTec_excess,Durbl_excess,0.0062672662
1967-03-01,HiTec_excess,Manuf_excess,0.0057447841
1967-03-01,HiTec_excess,Enrgy_excess,0.004126572
1967-03-01,HiTec_excess,HiTec_excess,0.0065554655
1967-03-01,HiTec_excess,Telcm_excess,0.0027868412
1967-03-01,HiTec_excess,Shops_excess,0.0045595464
1967-03-01,HiTec_excess,Hlth_excess,0.004178127
1967-03-01,HiTec_excess,Utils_excess,0.0045929801
1967-03-01,HiTec_excess,Other_excess,0.0053992517
1967-03-01,Telcm_excess,NoDur_excess,0.0017073951
1967-03-01,Telcm_excess,Durbl_excess,0.0028388155
1967-03-01,Telcm_excess,Manuf_excess,0.0026105494
1967-03-01,Telcm_excess,Enrgy_excess,0.0019226355
1967-03-01,Telcm_excess,HiTec_excess,0.0027868412
1967-03-01,Telcm_excess,Telcm_excess,0.0020329308
1967-03-01,Telcm_excess,Shops_excess,0.0021843967
1967-03-01,Telcm_excess,Hlth_excess,0.001974957
1967-03-01,Telcm_excess,Utils_excess,0.0024486742
1967-03-01,Telcm_excess,Other_excess,0.0026210067
1967-03-01,Shops_excess,NoDur_excess,0.0029441419
1967-03-01,Shops_excess,Durbl_excess,0.0050115467
1967-03-01,Shops_excess,Manuf_excess,0.0043512375
1967-03-01,Shops_excess,Enrgy_excess,0.0032197141
1967-03-01,Shops_excess,HiTec_excess,0.0045595464
1967-03-01,Shops_excess,Telcm_excess,0.0021843967
1967-03-01,Shops_excess,Shops_excess,0.0043097723
1967-03-01,Shops_excess,Hlth_excess,0.0033541894
1967-03-01,Shops_excess,Utils_excess,0.0035559558
1967-03-01,Shops_excess,Other_excess,0.0041569257
1967-03-01,Hlth_excess,NoDur_excess,0.0026684406
1967-03-01,Hlth_excess,Durbl_excess,0.0041965022
1967-03-01,Hlth_excess,Manuf_excess,0.0038907117
1967-03-01,Hlth_excess,Enrgy_excess,0.0029381766
1967-03-01,Hlth_excess,HiTec_excess,0.004178127
1967-03-01,Hlth_excess,Telcm_excess,0.001974957
1967-03-01,Hlth_excess,Shops_excess,0.0033541894
1967-03-01,Hlth_excess,Hlth_excess,0.0040800619
1967-03-01,Hlth_excess,Utils_excess,0.0031993374
1967-03-01,Hlth_excess,Other_excess,0.0037536859
1967-03-01,Utils_excess,NoDur_excess,0.0027452134
1967-03-01,Utils_excess,Durbl_excess,0.0045747225
1967-03-01,Utils_excess,Manuf_excess,0.0041435326
1967-03-01,Utils_excess,Enrgy_excess,0.0031654596
1967-03-01,Utils_excess,HiTec_excess,0.0045929801
1967-03-01,Utils_excess,Telcm_excess,0.0024486742
1967-03-01,Utils_excess,Shops_excess,0.0035559558
1967-03-01,Utils_excess,Hlth_excess,0.0031993374
1967-03-01,Utils_excess,Utils_excess,0.0048526847
1967-03-01,Utils_excess,Other_excess,0.0043045962
1967-03-01,Other_excess,NoDur_excess,0.0033288012
1967-03-01,Other_excess,Durbl_excess,0.0057127108
1967-03-01,Other_excess,Manuf_excess,0.0053564253
1967-03-01,Other_excess,Enrgy_excess,0.0040315383
1967-03-01,Other_excess,HiTec_excess,0.0053992517
1967-03-01,Other_excess,Telcm_excess,0.0026210067
1967-03-01,Other_excess,Shops_excess,0.0041569257
1967-03-01,Other_excess,Hlth_excess,0.0037536859
1967-03-01,Other_excess,Utils_excess,0.0043045962
1967-03-01,Other_excess,Other_excess,0.0058813541
1967-04-01,NoDur_excess,NoDur_excess,0.0024774968
1967-04-01,NoDur_excess,Durbl_excess,0.0037506379
1967-04-01,NoDur_excess,Manuf_excess,0.0033978433
1967-04-01,NoDur_excess,Enrgy_excess,0.0025265084
1967-04-01,NoDur_excess,HiTec_excess,0.0035421995
1967-04-01,NoDur_excess,Telcm_excess,0.0017070099
1967-04-01,NoDur_excess,Shops_excess,0.0029455121
1967-04-01,NoDur_excess,Hlth_excess,0.0026731088
1967-04-01,NoDur_excess,Utils_excess,0.0027457394
1967-04-01,NoDur_excess,Other_excess,0.0033310578
1967-04-01,Durbl_excess,NoDur_excess,0.0037506379
1967-04-01,Durbl_excess,Durbl_excess,0.0083451887
