date,asset,model,cum_r2_os,r2_change,abs_change
1975-01-01,Shops_excess,random_forest,-0.009790577019274105,-0.0369024852902905,0.0369024852902905
1975-01-01,NoDur_excess,random_forest,0.012542290988524218,-0.0314069939937196,0.0314069939937196
1970-04-01,Utils_excess,ols_restricted,-0.05731218724655074,0.028695609460865246,0.028695609460865246
1970-04-01,Utils_excess,elastic_net_restricted,-0.05599142648733424,0.028508033704975677,0.028508033704975677
1975-01-01,Durbl_excess,random_forest,0.024926486457104047,-0.027003431000364286,0.027003431000364286
1970-07-01,Durbl_excess,random_forest,0.02160406563749706,-0.02608707276740907,0.02608707276740907
1970-04-01,HiTec_excess,ols_restricted,-0.028388265361654286,0.025817951045016496,0.025817951045016496
1970-02-01,Utils_excess,ols4_restricted,0.07620961585142638,-0.025209759229145257,0.025209759229145257
1971-02-01,Telcm_excess,ols_restricted,0.027223417300181962,-0.02476192927414589,0.02476192927414589
1970-01-01,Hlth_excess,random_forest,0.010176121432946328,-0.024491654479406155,0.024491654479406155
1971-02-01,Telcm_excess,elastic_net_restricted,0.01360993465560456,-0.024263988186730923,0.024263988186730923
1970-04-01,Shops_excess,ols_restricted,-0.016059549578854693,0.02401914253505466,0.02401914253505466
1975-01-01,HiTec_excess,random_forest,0.02085297897216498,-0.023311505914691222,0.023311505914691222
1970-07-01,Enrgy_excess,ols_restricted,0.041304876039372496,-0.022820944395462894,0.022820944395462894
1970-07-01,Enrgy_excess,elastic_net_restricted,0.03877156636561352,-0.02250392126335976,0.02250392126335976
1970-02-01,Telcm_excess,ols4_restricted,0.06111410777695281,-0.02186713140037977,0.02186713140037977
1970-07-01,Enrgy_excess,random_forest,0.05070991762414678,-0.021599446350938356,0.021599446350938356
1970-07-01,Enrgy_excess,ols4_restricted,0.02955357958462268,-0.02135036507902688,0.02135036507902688
1970-01-01,Hlth_excess,elastic_net_restricted,-0.0190518532735644,-0.021320954793412006,0.021320954793412006
1970-07-01,Telcm_excess,ols4_restricted,0.0573008705658391,-0.019920302219743502,0.019920302219743502
1970-01-01,Durbl_excess,ols_restricted,0.019196045082702673,0.019534484399572172,0.019534484399572172
1970-06-01,HiTec_excess,elastic_net_restricted,-0.01211801205644747,0.019473783227561547,0.019473783227561547
1970-02-01,Utils_excess,random_forest,-0.05146807725921243,0.019293232923855763,0.019293232923855763
1970-01-01,Utils_excess,ols_restricted,-0.09297851361865961,0.01919887444762125,0.01919887444762125
1970-05-01,HiTec_excess,elastic_net_restricted,-0.03159179528400902,0.018966677306066604,0.018966677306066604
1970-07-01,Utils_excess,ols4_restricted,0.0740844768918506,-0.018863128251190076,0.018863128251190076
1970-01-01,HiTec_excess,elastic_net_restricted,-0.06858146176326874,-0.01874166575082037,0.01874166575082037
1970-01-01,Utils_excess,elastic_net_restricted,-0.09804651923716867,0.018540071936096414,0.018540071936096414
1970-07-01,Shops_excess,random_forest,-0.002905523939867649,-0.018522563026227123,0.018522563026227123
1970-04-01,HiTec_excess,ols4_restricted,-0.007119329513501693,0.018346862574213363,0.018346862574213363
1970-07-01,Telcm_excess,ols_restricted,0.042377121844354604,-0.01826339567222912,0.01826339567222912
1970-01-01,Enrgy_excess,ols4_restricted,0.043371208763397395,0.018201791700013126,0.018201791700013126
1970-01-01,Durbl_excess,elastic_net_restricted,0.033821831884933706,0.018044664165604574,0.018044664165604574
1970-11-01,Utils_excess,ols4_restricted,0.053215246958927875,-0.017964562522765792,0.017964562522765792
1970-04-01,Durbl_excess,ols_restricted,0.020365046574291834,0.017949679484067227,0.017949679484067227
1970-07-01,Durbl_excess,ols4_restricted,0.03610948745292408,-0.017738584640516586,0.017738584640516586
1970-05-01,HiTec_excess,ols_restricted,-0.01079759687361359,0.017590668488040695,0.017590668488040695
1975-01-01,Durbl_excess,ols4_restricted,0.05205801712579916,-0.017551019694810877,0.017551019694810877
1970-01-01,Shops_excess,ols_restricted,-0.04907385479437343,0.017351846414388028,0.017351846414388028
1970-01-01,Durbl_excess,ols4_restricted,0.041314989516263556,0.017281391870827,0.017281391870827
1970-06-01,HiTec_excess,ols_restricted,0.006463838890141904,0.017261435763755495,0.017261435763755495
1970-02-01,Utils_excess,elastic_net_restricted,-0.08086681599136258,0.01717970324580609,0.01717970324580609
1970-07-01,Durbl_excess,elastic_net_restricted,0.025113565963153173,-0.017054587461617254,0.017054587461617254
1970-07-01,Durbl_excess,ols_restricted,0.02307265147391313,-0.0169276331400251,0.0169276331400251
1975-01-01,Manuf_excess,random_forest,-3.4252371895915346e-05,-0.01671315952490593,0.01671315952490593
1975-01-01,Other_excess,ols_restricted,-0.018754337675814137,0.01665008925489242,0.01665008925489242
1970-04-01,Enrgy_excess,random_forest,0.0707953020660872,0.016576734475241106,0.016576734475241106
1970-04-01,Telcm_excess,elastic_net_restricted,0.02430663233812025,0.016383071678952144,0.016383071678952144
1970-01-01,Manuf_excess,ols4_restricted,0.03460658572053954,0.016375799449181994,0.016375799449181994
1970-07-01,Telcm_excess,elastic_net_restricted,0.024935884015725884,-0.01632698534434629,0.01632698534434629
1970-12-01,Manuf_excess,random_forest,0.014752889796691981,-0.016153260882979303,0.016153260882979303
1970-02-01,Telcm_excess,ols_restricted,0.034145988188905574,-0.015948303835090383,0.015948303835090383
1970-01-01,Durbl_excess,random_forest,0.040590329682509196,0.015934386874036477,0.015934386874036477
1970-05-01,HiTec_excess,ols4_restricted,0.008703751960636219,0.015823081474137912,0.015823081474137912
1970-01-01,Enrgy_excess,elastic_net_restricted,0.05540809233351107,0.015492845215670181,0.015492845215670181
1970-05-01,Shops_excess,ols_restricted,-0.0006357880178522457,0.015423761561002447,0.015423761561002447
1970-04-01,Other_excess,ols4_restricted,0.005455900222740784,0.015336920716272351,0.015336920716272351
