date,asset,realized,historical_mean,ridge_restricted,ols4_restricted,random_forest,elastic_net_restricted,ols_restricted
1967-06-01,Shops_excess,0.0351,0.00834577,0.00335878,0.005054,0.00642336,0.0,0.0
1967-06-01,Telcm_excess,0.0246,0.00653732,0.00653452,0.0,0.00429046,0.0,0.0
1967-06-01,Utils_excess,-0.0158,0.00765485,0.0031774,0.0,0.00857367,0.0,0.0
1967-07-01,Durbl_excess,0.108,0.01196934,0.00870039,0.00783981,0.00957141,0.01221314,0.00788492
1967-07-01,Enrgy_excess,0.0662,0.00889527,0.00349892,0.0,0.00559456,0.0,0.0
1967-07-01,HiTec_excess,0.0368,0.01177325,0.01099099,0.00231907,0.01376752,0.00732973,0.0
1967-07-01,Hlth_excess,0.0348,0.00985741,0.00985443,0.01198181,0.01282169,0.01310505,0.01080478
1967-07-01,Manuf_excess,0.0472,0.00956461,0.00679251,0.0,0.00789563,0.0,0.0
1967-07-01,NoDur_excess,0.0574,0.00701626,0.00626569,0.00856873,0.00768103,0.00797452,0.00059084
1967-07-01,Other_excess,0.0751,0.00759486,0.00526121,0.0,0.00774707,0.00102403,0.0
1967-07-01,Shops_excess,0.0569,0.00840082,0.00816195,0.00670237,0.00667403,0.00586783,0.0
1967-07-01,Telcm_excess,-0.0689,0.00657449,0.00657249,0.0,0.00738376,0.00180644,0.0
1967-07-01,Utils_excess,0.0202,0.00760658,0.00519796,0.0,0.00946037,0.0,0.0
1967-08-01,Durbl_excess,-0.0017,0.01216653,0.00710369,0.00565782,0.00758152,0.0045456,0.0
1967-08-01,Enrgy_excess,-0.0179,0.00901294,0.00460051,0.0,0.00775913,0.00336285,0.0
1967-08-01,HiTec_excess,-0.0132,0.01182464,0.01114096,0.00755273,0.01160734,0.01183778,0.00595106
1967-08-01,Hlth_excess,0.0034,0.00990862,0.00990207,0.01140991,0.00785017,0.01025708,0.00706373
1967-08-01,Manuf_excess,-0.0071,0.00964189,0.00656401,0.0,0.00788586,0.0,0.0
1967-08-01,NoDur_excess,-0.0113,0.00711971,0.00610971,0.00838382,0.00610096,0.00778193,0.00413099
1967-08-01,Other_excess,-0.0056,0.00773347,0.00542762,0.0,0.00761035,0.00577493,0.0
1967-08-01,Shops_excess,0.0002,0.00850041,0.00616323,0.00523734,0.00768912,0.00674811,0.00199374
1967-08-01,Telcm_excess,-0.0155,0.00641951,0.00641828,0.0,0.00351125,0.00689756,0.00193467
1967-08-01,Utils_excess,-0.0096,0.00763244,0.00619646,0.0,0.0088445,0.00277998,0.0
1967-09-01,Durbl_excess,0.0466,0.01213811,0.00770009,0.00637546,0.00777103,0.00760928,0.00325053
1967-09-01,Enrgy_excess,0.0392,0.00895779,0.00382285,0.0,0.00385153,0.00139885,0.0
1967-09-01,HiTec_excess,0.0804,0.01177336,0.01134098,0.00729262,0.01215453,0.01333149,0.0075583
1967-09-01,Hlth_excess,0.0258,0.00989529,0.0098904,0.01177832,0.00490466,0.01215439,0.00968214
1967-09-01,Manuf_excess,0.0279,0.00960758,0.00651114,0.0,0.00782452,0.0,0.0
1967-09-01,NoDur_excess,0.0278,0.00708197,0.00633913,0.00851674,0.00537503,0.00929564,0.00505095
1967-09-01,Other_excess,0.0095,0.00770615,0.0054464,0.0,0.00732579,0.00560454,0.0
1967-09-01,Shops_excess,0.0213,0.0084834,0.00789478,0.00547237,0.00531963,0.01031257,0.0053124
1967-09-01,Telcm_excess,0.009,0.00637459,0.00637265,0.0,0.00327661,0.00530477,0.00015845
1967-09-01,Utils_excess,-0.0042,0.00759713,0.00693074,0.0,0.00780685,0.0041588,0.0
1967-10-01,Durbl_excess,-0.053,0.01220859,0.00736687,0.00606544,0.00572013,0.00636114,0.00244787
1967-10-01,Enrgy_excess,-0.0135,0.00901963,0.00353825,0.0,0.00529053,0.00152474,0.0
1967-10-01,HiTec_excess,0.045,0.0119137,0.01164648,0.00948708,0.01231384,0.01681727,0.01231394
1967-10-01,Hlth_excess,-0.0542,0.00992781,0.00992225,0.01163084,0.00558037,0.01179589,0.00993414
1967-10-01,Manuf_excess,-0.0491,0.00964499,0.00627915,0.0,0.00806641,0.0,0.0
1967-10-01,NoDur_excess,-0.0301,0.00712434,0.00638808,0.00852261,0.00632998,0.00976694,0.00739889
1967-10-01,Other_excess,-0.0543,0.00770982,0.00525509,0.0,0.00722956,0.00678976,0.00134033
1967-10-01,Shops_excess,0.0027,0.00850961,0.00792663,0.00518271,0.00711866,0.01219587,0.00881745
1967-10-01,Telcm_excess,-0.0388,0.00637996,0.00637876,0.0,0.00407577,0.00881287,0.00534528
1967-10-01,Utils_excess,-0.0576,0.00757301,0.0073485,0.0,0.00650333,0.00836401,0.00361531
