date,model,cum_r2_os
1968-11-01,random_forest,-0.02565393093230849
1968-11-01,ridge_restricted,-0.030143291491536873
1968-12-01,elastic_net_restricted,-0.034606176862704695
1968-12-01,ols4_restricted,-0.04240169638822185
1968-12-01,ols_restricted,-0.048241373163109315
1968-12-01,random_forest,-0.014812919689093906
1968-12-01,ridge_restricted,-0.023339525746223687
1969-01-01,elastic_net_restricted,-0.03690643036693787
1969-01-01,ols4_restricted,-0.0396585533648127
1969-01-01,ols_restricted,-0.050571524914741775
1969-01-01,random_forest,-0.011490677800566462
1969-01-01,ridge_restricted,-0.020157496891275162
1969-02-01,elastic_net_restricted,-0.04106996833820523
1969-02-01,ols4_restricted,-0.023496520815501153
1969-02-01,ols_restricted,-0.05147616379159742
1969-02-01,random_forest,-0.004316194392029948
1969-02-01,ridge_restricted,-0.010997386025034616
1969-03-01,elastic_net_restricted,-0.045380967893937516
1969-03-01,ols4_restricted,-0.026192297883849136
1969-03-01,ols_restricted,-0.05848097074586778
1969-03-01,random_forest,-0.0076732541209546205
1969-03-01,ridge_restricted,-0.015454142108567825
1969-04-01,elastic_net_restricted,-0.049155554432858094
1969-04-01,ols4_restricted,-0.02915242574313872
1969-04-01,ols_restricted,-0.06355657093612768
1969-04-01,random_forest,-0.00989931928039881
1969-04-01,ridge_restricted,-0.015907173817747512
1969-05-01,elastic_net_restricted,-0.049221521578315205
1969-05-01,ols4_restricted,-0.0288356779822475
1969-05-01,ols_restricted,-0.06433573792420474
1969-05-01,random_forest,-0.009837059127839397
1969-05-01,ridge_restricted,-0.015820951477194478
1969-06-01,elastic_net_restricted,-0.04746743969891344
1969-06-01,ols4_restricted,-0.011349082133128486
1969-06-01,ols_restricted,-0.057438952823610875
1969-06-01,random_forest,0.0009200108606437274
1969-06-01,ridge_restricted,-0.004735123962675636
1969-07-01,elastic_net_restricted,-0.037599708145473074
1969-07-01,ols4_restricted,0.003991921095588502
1969-07-01,ols_restricted,-0.03930225793367369
1969-07-01,random_forest,0.002030755715804811
1969-07-01,ridge_restricted,0.00414262473017305
1969-08-01,elastic_net_restricted,-0.0357137013421728
1969-08-01,ols4_restricted,-0.0008298217992716572
1969-08-01,ols_restricted,-0.03891612725538894
1969-08-01,random_forest,-0.003061695511498119
1969-08-01,ridge_restricted,-0.00028591284449812625
1969-09-01,elastic_net_restricted,-0.03484755171744767
1969-09-01,ols4_restricted,0.005714742707961362
1969-09-01,ols_restricted,-0.038330591747781195
1969-09-01,random_forest,-0.0009443446825702862
